AlwaysSimulateESG,true
InflationAdjusted,false
InflationModel,1100701
PercentileInterpolation,PERCENTILE.EXC
Scenarios,5000
Threads,
effective_date,2016-12-31
name,ESGoutputs_July2016
output_file,c:\Foresight\Results\ESGoutputs_July2016.csv
threads,
time_step_sizes,
time_steps,30
version,1.5.1.7
build_notes,FSCE-308 - Fix spelling error in input parsing. Fri Feb 3 15:16:55 AUSEDT 2017 4446e8aae0193b05001f8989587ec87749ebea1d

Operator Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,all
PERCENTILE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.04313614133040062600,-0.03727551120118693200,-0.03632262504693231600,-0.04135536929158469000,-0.03543344086375635500,-0.03613537821409436300,-0.03533735988126536500,-0.03413360883522572500,-0.03460523245903970200,-0.03611164794753708700,-0.03443228858456868400,-0.03335036795660326100,-0.03311345855473970400,-0.02998307419170848400,-0.02957557817593361300,-0.03010080209578691600,-0.02622318816789727000,-0.03140674342756121600,-0.02526123780182542800,-0.02667899769338924500,-0.02687160367517848700,-0.02369105043898312600,-0.02521012864614008400,-0.03053381112833029200,-0.04137678017897363600,-0.03700363052044601500,-0.03865396917076789600,-0.03146389187748537000,-0.03614500614400119300,-0.04894684465214634000,
PERCENTILE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.06101221911434195900,0.06664188850906294100,0.07095446216155898400,0.07368103813539206300,0.07466986925486085400,0.07705639664068642000,0.08001338897437404500,0.08082804563980039400,0.08382946270273949900,0.08447112512229582000,0.08565009649380339600,0.08569754448792987800,0.08561702943018623100,0.08609692597018670000,0.08668152020211550300,0.08692177852616012100,0.08728699253502092400,0.08689067207526690600,0.08617504627077488000,0.08722508555753727400,0.08694205500367180300,0.08863489775442690000,0.08571897896520219700,0.08742367921590454800,0.08594712614199717700,0.08590908912384998000,0.08659702010702952100,0.08552124766965374400,0.08625091753451630300,0.08556790453697638000,
PERCENTILE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.09710550604317214100,0.10140734972978405000,0.10704767763313994000,0.11051618430045446000,0.11204626056171574000,0.11366377650646076000,0.11695722822784360000,0.12080438690503642000,0.12214983958110082000,0.12367817902262757000,0.12585888519517829000,0.12391382078865609000,0.12383900102098222000,0.12507927848918382000,0.12761265800736998000,0.12639509234123675000,0.12427306678492078000,0.12483411616803242000,0.12385922495853036000,0.12775776196916400000,0.12501174501035128000,0.12636664411615506000,0.12432913014074565000,0.12691450600146342000,0.12533072044631755000,0.12533404427690770000,0.12462050787239370000,0.12435037784653979000,0.12629863861892110000,0.12517541108224683000,
PERCENTILE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.15439344418611511000,0.15683979352811883000,0.16515461505760473000,0.16827005794698402000,0.17171395485370058000,0.17627236133877464000,0.17748719119178427000,0.17934105470769923000,0.18499514830765640000,0.18031349000416791000,0.18657952929355615000,0.18823332757465422000,0.18730125572607170000,0.18434176966380128000,0.18936625353340156000,0.18504671620014512000,0.18449305517446388000,0.18578682035029048000,0.18666486499137708000,0.18894204737582329000,0.18899454029028800000,0.18601832912465571000,0.18876575664396469000,0.18871861488693889000,0.18631104346077246000,0.19237173983786007000,0.18763026212913370000,0.18761531754882263000,0.18904664263921966000,0.18696545464314362000,
PERCENTILE::QAustralianDirectProperty_TOTALRETURN::OAustralianDirectProperty_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.22835000459268295000,0.22842500556123918000,0.22873695994709559000,0.23596828860124552000,0.24585084819306585000,0.23305925104468111000,0.24743789146206649000,0.24064791779115641000,0.25203708638339761000,0.24925550736213323000,0.26060079812304721000,0.27602215774697991000,0.27586601408907396000,0.26142301251123368000,0.25051453589671657000,0.26095608809708137000,0.26533729590570876000,0.28324852522938426000,0.25472641349422415000,0.25251789797418611000,0.27020881163943161000,0.29119353603986159000,0.26454909453235992000,0.26499362110455532000,0.24931379773006493000,0.28612263502655028000,0.26146981619439502000,0.26315714874009721000,0.26076330676813819000,0.25941595670927853000,
PERCENTILE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.32031755424831382000,-0.31258815562143710000,-0.30103126330918778000,-0.33019946629469038000,-0.29672302584067167000,-0.32459806905074201000,-0.31399732086127324000,-0.30578310448407331000,-0.30615608572787933000,-0.31015579867166027000,-0.28824425678272336000,-0.29502631113638622000,-0.30606156149736857000,-0.29439806602077689000,-0.29596454180325932000,-0.28591274186263221000,-0.30341527061749185000,-0.29791426446584701000,-0.31703410782162678000,-0.29752166462424967000,-0.30805905828720903000,-0.29455015184658390000,-0.30186444718766292000,-0.28580972734287119000,-0.32279553870264399000,-0.30036976503017265000,-0.32682959177897458000,-0.29473160673791421000,-0.30304509777802646000,-0.28535012363366397000,
PERCENTILE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.03880012206222802100,-0.02921201025188141500,-0.02333945512958066100,-0.02402974663261400700,-0.01422575594965516700,-0.01723353394612864300,-0.02179324248419811600,-0.01459543110961433700,-0.01815546356662248200,-0.01613971883755852000,-0.01391217296702138000,-0.01366648282568616600,-0.01444165367047034500,-0.01203656527515423200,-0.01308231551185201600,-0.01131866662102268300,-0.01261380367534373200,-0.01413196838596875200,-0.00870400739260077110,-0.01440007910211574300,-0.01171554155158857600,-0.00933921376023832960,-0.01394706870093612200,-0.01250627426513242800,-0.01088333575413749600,-0.00919881115231910300,-0.01071504159055736100,-0.01090484102137237500,-0.01080726108550961200,-0.01121201347428763000,
PERCENTILE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.19065045959569032000,-0.17679817649200325000,-0.16664503720247265000,-0.17368330484816208000,-0.15951557176330772000,-0.17174261383031050000,-0.16933350306257725000,-0.16165840627500228000,-0.17477452188100395000,-0.16994337959447253000,-0.15603438696979946000,-0.15703387723064988000,-0.16092129168942496000,-0.16025865064757472000,-0.16069191580652117000,-0.15084834607714215000,-0.16861153052281050000,-0.15869552607226747000,-0.16895163279830192000,-0.16363516929235439000,-0.15678472525448608000,-0.15763569936209632000,-0.15738735243152258000,-0.16092113414775017000,-0.16122335422460496000,-0.16341369937717443000,-0.16853270609739016000,-0.15843435980597470000,-0.15702516621293508000,-0.15896147392127305000,
PERCENTILE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.06705811529990513000,0.06970662761443002800,0.08021944568517169700,0.08120224437758127900,0.08386894582417037100,0.08514581827704093000,0.08027493616736136600,0.08972004164803959500,0.09009655968502350300,0.08824331921889228000,0.09365276315839543600,0.09220405080600491100,0.09142286977421143500,0.09016155664448999300,0.09109362017292466100,0.09385495557475265200,0.09344769158252430600,0.08593762299677854000,0.09510687348364632600,0.09100204157785651800,0.09561478925695254800,0.09310012913093612700,0.08759506338492717400,0.09101165538383260100,0.09180510859295210000,0.09275118138344806700,0.09177204519222426100,0.09223651331008242400,0.09353132064135738500,0.09436139047967806400,
PERCENTILE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.17229748382048482000,0.17907052112034899000,0.18534505937988099000,0.18545448271502368000,0.19341003635933529000,0.19252742772750181000,0.19377088523318364000,0.20349801093178188000,0.19852172385741435000,0.19980938695590544000,0.20256143658765741000,0.20005865018500080000,0.20443117362134772000,0.20216646750424694000,0.20621326262519790000,0.20674238240788440000,0.20818794292598380000,0.19802666023930077000,0.20727447567238433000,0.19758132223011537000,0.20698861149717029000,0.20603338282904876000,0.20404523204375180000,0.20245340901388131000,0.20370525656204569000,0.20454118086494050000,0.20299225709834873000,0.20135715398730070000,0.20486587648898402000,0.20474299830987858000,
PERCENTILE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.34651894491633273000,0.35371529339319902000,0.36025894358452770000,0.36822606433651534000,0.37594658682879872000,0.36911672376844795000,0.37290945443091916000,0.37305053890268991000,0.38305438876041603000,0.37534434868060590000,0.39442881737460650000,0.38150095780320936000,0.38421540593341585000,0.39128136538626401000,0.39827842920361861000,0.39100472911531914000,0.38871185869362324000,0.37493005306405108000,0.39165289303331824000,0.37958077545080204000,0.38209802813118016000,0.38939556413608090000,0.38869471948017975000,0.39509413699967977000,0.38486970978847695000,0.38863576275545442000,0.38786672008722994000,0.39128767229054195000,0.39754348001413170000,0.38840977526416920000,
PERCENTILE::QAustralianEquities_TOTALRETURN::OAustralianEquities_TOTALRETRUN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.49564612132027625000,0.52109487084872186000,0.52347407289153469000,0.53537066403701461000,0.51118864836348177000,0.50876154029281484000,0.53840650014103486000,0.53708826026543233000,0.56875023715065776000,0.53530715068612977000,0.54268481568273319000,0.56719422533155328000,0.53617309733069130000,0.55073402998566612000,0.56583723828203181000,0.54422945240736342000,0.55842307549971171000,0.53394525490823408000,0.53607084683540873000,0.53782208004959609000,0.52893945983975721000,0.56356709991235143000,0.53095076114150908000,0.54646299825688649000,0.54732886525847468000,0.54546118070231708000,0.54283438882430357000,0.56740226426207374000,0.56381161542448965000,0.54831975855764481000,
PERCENTILE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.08347601535491132300,-0.08587577717030944700,-0.07471243463231434800,-0.07349286514113948000,-0.07401252617869327800,-0.07148820017496956800,-0.07756198564802019300,-0.06858961004342024900,-0.05327407382432808300,-0.06675683228705331400,-0.05740220032266873200,-0.05578279127004549800,-0.06650874402732456800,-0.07059595720068398400,-0.06254646436163049900,-0.06728326451442773200,-0.06251630526164009300,-0.06065456948621424800,-0.06533660199474752800,-0.06335291940547095600,-0.05671729561411102700,-0.06041509449176436800,-0.05559865331130083000,-0.05881562505712414900,-0.06790817174863995900,-0.06148196021834210400,-0.05999563151758202700,-0.06018272817487992100,-0.06312012918703838200,-0.06977884029264584700,
PERCENTILE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,0.01015856643249679600,0.01378980684990727100,0.01891078413995506100,0.01958186054277999400,0.02123420137966547400,0.02284347718442864000,0.02591885211833094800,0.02841392752626742400,0.02942389421905078400,0.03124522284561492800,0.03136953474938541900,0.03126662374228689200,0.03220703905942889900,0.03103111808939584800,0.02978667384169447800,0.03096616447785616200,0.03242077006786758800,0.03144915044859492000,0.03295216669004857900,0.03183458814266715300,0.03212727730123954300,0.03127459599498616500,0.03391331540400077700,0.03098571511963904600,0.03088610897424126600,0.03235050313613113700,0.03331799503720278600,0.03411222240896139000,0.03073689915747768200,0.03220149448496179000,
PERCENTILE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.02937049494842634100,-0.02760654506629921600,-0.02267656951578393400,-0.02375549164780478200,-0.02450488768166766300,-0.02108627127851735900,-0.01852204575124117800,-0.01628289069443808500,-0.01245451593203573600,-0.01276225968461591100,-0.01416715568914362800,-0.01068284305447345100,-0.01236701508283872200,-0.01427945259504571900,-0.01490714027732050600,-0.01239625742989813000,-0.01167282265611386100,-0.01252591068500888400,-0.01314439369720124000,-0.01326728973394555700,-0.01083177608833009100,-0.01049328787452918900,-0.01179355558655748400,-0.00986175166994420620,-0.01396340368291485400,-0.01284102830193266200,-0.01387276044703228800,-0.01218640268018895600,-0.01254743272672437800,-0.01181074866876960500,
PERCENTILE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.03558595092096017400,0.03968577222394575900,0.04503055245386200500,0.04794105247725433100,0.04960243781861684000,0.05159677419290964500,0.05369109530800275600,0.05668337750985119600,0.05778988107098959000,0.05894605781740802600,0.06062918302772735100,0.06018476815004403200,0.06122720580256435500,0.05999022399244557900,0.05914273038193185200,0.05947677001995177500,0.06024586441802437500,0.06054242909013118900,0.06083689507129019800,0.06132377800799859700,0.06213592283513258400,0.06215431081474220900,0.06164831584227570300,0.06083465930324594200,0.06043573395273793600,0.06114081098455048700,0.06172421347323697700,0.06043720466521296200,0.06014913594963666700,0.06032422477401600000,
PERCENTILE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.06220779024214873100,0.06699315099130975800,0.07209263314813857400,0.07684014598988092600,0.07781876732490700100,0.07935220436039974700,0.08301824068995961000,0.08592392534608323000,0.08814292095033304800,0.08831416422707394400,0.08987853035108506200,0.08928546225397021600,0.09097134464532613500,0.08966648993246784100,0.08957982780640966200,0.09059603346891403900,0.09026747651574301700,0.09063242265834253700,0.09109610448224336700,0.09160321494349460400,0.09145976726744492500,0.09219353142865527300,0.09145114618563232600,0.09026430416992531300,0.09057015956981678800,0.09047585585506318100,0.09082471381434903400,0.09100538074647623900,0.08933086954846275500,0.09006691162460595000,
PERCENTILE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.10572477783514934000,0.10784737724403769000,0.11812315800812653000,0.12142266565509496000,0.12548827132307361000,0.12510864980774875000,0.13181903986821647000,0.13371237328116506000,0.13479759627732216000,0.13533966777332823000,0.13852647598933815000,0.13734709179314858000,0.13852758133498497000,0.13526416333525457000,0.13648388949115042000,0.13845046351320117000,0.13598360697512246000,0.13657856337766031000,0.13778544096105708000,0.13749638995599592000,0.13812082650079852000,0.14070408774769230000,0.13849712022758970000,0.13510494356845659000,0.13560191419894557000,0.13867320964649554000,0.14001994057901523000,0.13654290231062916000,0.13743253939216235000,0.13713755302585581000,
PERCENTILE::QAustralianFixedInterestCorp_TOTALRETURN::OAustralianFixedInterestCorp_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.14690526255033245000,0.15912930599444686000,0.16745379740571872000,0.17246100860360988000,0.17541667276990305000,0.18211822987466861000,0.17571384697107043000,0.18373979898542500000,0.19489314681699221000,0.17704597549194667000,0.18167705994581257000,0.17732759250505481000,0.19525100749702459000,0.18233145146926275000,0.18432277280178047000,0.18809673105318891000,0.18669684792914534000,0.18517970943030879000,0.17992403948408864000,0.18070576417118830000,0.18196880251307485000,0.19300071730995555000,0.19404907799132018000,0.18343630540242481000,0.18331092787323830000,0.19067474672825074000,0.18606102306323585000,0.18755810826616243000,0.18459960787735794000,0.18309816396882495000,
PERCENTILE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.07174554195787503900,-0.07426837526295088100,-0.06479774879535948900,-0.07738966005914139900,-0.07472700490025882500,-0.07414416891037678400,-0.06851326438352548000,-0.06899762125257216700,-0.06324489062222162000,-0.06326863880853268700,-0.06364004061840825000,-0.06020616098161238300,-0.06953319059582961600,-0.07461525519951163500,-0.05969643810626640300,-0.05434200656598225900,-0.05630086913481885400,-0.05574016666503352900,-0.06271889359916574300,-0.06567162270162622800,-0.06636118873158243500,-0.05671342970302514800,-0.05427426141940760300,-0.05652720562819418800,-0.05438322129483232100,-0.05974615100158877500,-0.05847783313855927500,-0.05913729375894366500,-0.06255855875659076200,-0.06348785222941102900,
PERCENTILE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.00420841593556189890,-0.00061982489194967183,0.00448290939570089590,0.00611343402149611140,0.00642214877679575520,0.00836112929404453360,0.01093191216501021600,0.01204904097067366300,0.01503582124422514500,0.01562263236625782700,0.01655620783998962300,0.01518524764136935900,0.01549210521920862900,0.01657066527539546900,0.01571565398033320000,0.01653811777368169300,0.01828782673819484600,0.01592567007714651400,0.01731316096227342200,0.01754980722251731100,0.01763450397369015200,0.01705792882452816800,0.01775828720645111800,0.01788607079961429500,0.01669154612374690300,0.01675794946974723500,0.01547634903503275500,0.01724989222743794600,0.01590869951548318200,0.01761576510610241000,
PERCENTILE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.04181064459384829100,-0.03781270793608378100,-0.03303316499961965500,-0.03215333407260205500,-0.03332828597063021400,-0.03171276101956321100,-0.02982907342261711300,-0.02496202199320043600,-0.02529574691757369200,-0.02420008486098377400,-0.02515688518076378600,-0.02585455738279249900,-0.02598473069840159800,-0.02327699716604066100,-0.02265111541198115000,-0.02316090212424132300,-0.02247291443529986900,-0.02318832984692886800,-0.02293691086175614300,-0.02315244276103289900,-0.02304663322080416400,-0.02388475717227133200,-0.02248172714071925900,-0.02140847682894413800,-0.02383578471427910300,-0.02329329978843095900,-0.02382356199288539500,-0.02230980883167863300,-0.02394051833938219700,-0.02381563134970190300,
PERCENTILE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.02173510742190221100,0.02404230164794096700,0.02952424649204166100,0.03256262399784004600,0.03394824592869460900,0.03654104886367892700,0.03826075006704921000,0.04118099751525650100,0.04293938021123910900,0.04412353923862011300,0.04531071113859763700,0.04345892139287477200,0.04395783264173214200,0.04580215542159560300,0.04296087790787683800,0.04506378922586828900,0.04498823439413157700,0.04471288465855971500,0.04638424678019692500,0.04502451553784070400,0.04563771004036376600,0.04623621212185691200,0.04603429426662530900,0.04592616926005699300,0.04548151452811555200,0.04551356810286333300,0.04423624099851775100,0.04461119069013719200,0.04476964205679723200,0.04516161890572412100,
PERCENTILE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.04669015027766454400,0.05050284808334737400,0.05649001942930292900,0.05995702502283561900,0.06254249432785241600,0.06367468610494420000,0.06697163810237805000,0.06871489809371877900,0.07163419267644283200,0.07257472528727027000,0.07318589679561471300,0.07295911520937276000,0.07395211290529379900,0.07462479986383557800,0.07327055881762989400,0.07369843424254235400,0.07442781174634643900,0.07381394912143324200,0.07448698988388091600,0.07378903376322143400,0.07508982728411034400,0.07375004263844309200,0.07500183573865276700,0.07390600654726653400,0.07462841740009029700,0.07383770441150111500,0.07501577821371868700,0.07326216325606083000,0.07402003843453924800,0.07416008956717934400,
PERCENTILE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.08452471636508622500,0.08944915239380528400,0.09863667912870129100,0.10000512224075477000,0.10496221562293374000,0.10661589443810819000,0.11247335001802923000,0.11140619715403408000,0.11398225742616597000,0.11627389450128228000,0.11833811842830612000,0.11710974407641957000,0.11881276541427188000,0.11567834927321580000,0.11541520853475795000,0.11640227367387741000,0.11763179912825350000,0.11869205257855847000,0.11774504646203771000,0.11821175995164562000,0.11952895791530789000,0.12007818748766194000,0.11644969418836855000,0.11571632701654941000,0.11777439439296994000,0.11853318420488680000,0.11709594554202211000,0.11724830402963023000,0.11893154038537126000,0.11627230418995983000,
PERCENTILE::QAustralianFixedInterestGovt_TOTALRETURN::OAustralianFixedInterestGovt_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.11324620061922515000,0.12042904690469239000,0.13666596263847092000,0.13232978143945767000,0.13824677123438192000,0.14202547862466466000,0.14848893209978764000,0.15302424020983768000,0.15017967588355002000,0.15169400356318494000,0.15207374861281686000,0.15777849869522451000,0.15044824280983693000,0.14912993329557914000,0.15431141709207183000,0.15227061331664721000,0.14857329983262182000,0.15520566168841751000,0.14887037333753000000,0.15239673283688701000,0.15917524302643185000,0.15319890478514625000,0.15668549222601930000,0.14942372031697768000,0.15243209660159271000,0.15248226086056998000,0.15234665696423566000,0.15911149207994771000,0.15491289866408020000,0.15209446974010785000,
PERCENTILE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.22326076994755759000,-0.22827485505090481000,-0.22719409038235755000,-0.22630487065939303000,-0.21725138006785880000,-0.21177296684622895000,-0.21312897091813662000,-0.22441306409014788000,-0.22029019707377831000,-0.23293133468139146000,-0.22692527692577247000,-0.22535124123934094000,-0.20685858441335842000,-0.20371545642954064000,-0.23040437467609370000,-0.23017217813258198000,-0.21285320030341934000,-0.19589342549635486000,-0.22800943279047972000,-0.21512880949238494000,-0.21789358665848441000,-0.21389930269272470000,-0.22431019788262882000,-0.21497144281252792000,-0.21376524187315143000,-0.21446413260870437000,-0.20294810708260133000,-0.20649570015625737000,-0.21034474909674453000,-0.22640606938767599000,
PERCENTILE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.01197159964380537000,-0.00772591384480686430,-0.00570481686497506520,-0.00225282640076870930,-0.00106512860986784920,-0.00235963376362280370,0.00263449424686745810,0.00724838550178236170,0.00213694145054577070,0.00573767614982040320,0.00970450047242849000,0.00721859414284770070,0.01037101552395502900,0.00882641178796234050,0.00660288809724063340,0.01047927142680321600,0.00522537533129202590,0.00831342447999755540,0.00923417644841556530,0.00811896507335940760,0.00652585079109302410,0.01095659222661621300,0.00902567913974072770,0.01274657140089297000,0.00935243459603340990,0.01180929332355767900,0.00765684850304110260,0.01221807514370715200,0.00468573166789482130,0.01433106623379787300,
PERCENTILE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Percentiles::TOTALRETURN::%5,0.00000000000000000000,-0.12107284413361964000,-0.11421308117082481000,-0.11466037812651927000,-0.11202310208707621000,-0.10804016332887541000,-0.11129405608512992000,-0.11138342530790886000,-0.10283706250954582000,-0.10658284707683709000,-0.10399579263551999000,-0.10627354623486694000,-0.11203808146033165000,-0.10455666158912949000,-0.09846053914614033600,-0.10416112666037163000,-0.10345542631313304000,-0.10750319921609970000,-0.09702517027918826400,-0.10059837570485410000,-0.10560015879185081000,-0.10338256227832024000,-0.10346750859161544000,-0.10396209758413523000,-0.09798446880634798000,-0.10040049659422927000,-0.09870861438963921000,-0.10169201353169882000,-0.10224301535668792000,-0.09957868237790829000,-0.09834321658204975300,
PERCENTILE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Percentiles::TOTALRETURN::%50,0.00000000000000000000,0.05975646394433908900,0.06193202750597448500,0.06721483549302176300,0.07318476481947222600,0.07166370365648500100,0.06934890076287347800,0.07543966805862911700,0.08306565371636764900,0.07665704807515050200,0.07838317786415427400,0.08326484587462557000,0.08234350418411684500,0.08242516588560278000,0.08416453654354261200,0.08297671118715777000,0.08536252078930683900,0.08040460620978473500,0.08273705235451744900,0.08315419399899559600,0.08465735494781256900,0.08187912857898394000,0.08464527808106725400,0.08341547216709355200,0.08567612934018753500,0.08415694436710508000,0.08476127170098002300,0.08393018465502066800,0.08552663635467527800,0.08194614065401739600,0.08404740703043156500,
PERCENTILE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Percentiles::TOTALRETURN::%75,0.00000000000000000000,0.13313297620851400000,0.14170870253827794000,0.14401662478031446000,0.15237378683644220000,0.15208396186475648000,0.15260668600151905000,0.15697981728761540000,0.16273933027268478000,0.15818132800371087000,0.16131416309410701000,0.16494346387310849000,0.16416330388409567000,0.16458098443830821000,0.16193602262879897000,0.16379992790017689000,0.16582385686172235000,0.15974580815383649000,0.16199934363899726000,0.16214808378062406000,0.16313664124756078000,0.16479252394637661000,0.16179583730612818000,0.16452739691183427000,0.16319865207002610000,0.16513348998759952000,0.16251698200201209000,0.16322723892014002000,0.16503564775128854000,0.16811807695678826000,0.16552106461911620000,
PERCENTILE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Percentiles::TOTALRETURN::%95,0.00000000000000000000,0.27647567792199701000,0.27308211561775275000,0.28525808702251948000,0.29145072475028855000,0.29888382638344707000,0.30805833591849741000,0.31156673779410443000,0.30324751080161017000,0.30934424133738964000,0.30527221529432114000,0.31040686647020344000,0.31587463343654776000,0.31926750449791713000,0.30042942027667729000,0.31733653586660576000,0.31611873596367368000,0.30996056684849377000,0.31828321607860921000,0.30495648589246788000,0.30806080097072142000,0.31219066513310040000,0.30939304499012671000,0.30167991903349112000,0.31192076678221131000,0.31914394518188921000,0.30738489970149308000,0.30828600784987781000,0.30821095954116973000,0.30842662367440576000,0.30930472176680479000,
PERCENTILE::QAustralianInfrastructure_TOTALRETURN::OAustralianInfrastructure_TOTALRETURN_Percentiles::TOTALRETURN::%99,0.00000000000000000000,0.51490090010680045000,0.44393874278439910000,0.46238221135258478000,0.47772921513742800000,0.49891730186972699000,0.46950521203445850000,0.48099376041973246000,0.50637653258045989000,0.55364011699481142000,0.52923342964459297000,0.51959404963489975000,0.54518249214311687000,0.53318125933828286000,0.49571139706321993000,0.50813235620456965000,0.50747005862678163000,0.50201026272077687000,0.53147969692855934000,0.51455837018425299000,0.49025824928315853000,0.48211313861971911000,0.51553863628991559000,0.48522934953430868000,0.52057698065157665000,0.57435874848974033000,0.53696639745242758000,0.53094833153455356000,0.49042561106655641000,0.51455739588086213000,0.55091902698135531000,
PERCENTILE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Percentiles::TOTALRETURN::%1,0.00000000000000000000,-0.45360160582079850000,-0.46254300116468383000,-0.44491165475353572000,-0.46088464425791376000,-0.48293002630667409000,-0.46005448941795241000,-0.45525581940378007000,-0.45224777765260055000,-0.45592249162980453000,-0.42984610187553407000,-0.46748253254646910000,-0.45184961974264259000,-0.43648104025458140000,-0.45843984568439167000,-0.44125948978752955000,-0.45629851994824855000,-0.40826908683035312000,-0.43193440834503505000,-0.46689928647352702000,-0.45576544841699212000,-0.44952345663021515000,-0.44248586215427693000,-0.46112002491014986000,-0.44742006648377525000,-0.38562672031049516000,-0.41988829448847931000,-0.47315744300083240000,-0.45720623517707465000,-0.44630320897704384000,-0.40997092782409728000,
PERCENTILE::QAustralianListedProperty_TOTALRETURN::OAustralianListedProperty_TOTALRETURN_Percentiles::TOTALRETURN::%25,0.00000000000000000000,-0.01308238177375958800,-0.01025751692720444600,-0.00572610696935904610,-0.00304654684076741120,-0.00159116765655376020,0.00415548393022174830,0.00209497426576321640,0.00600095190572458300,0.00816004068133613370,0.00987495583047115490,0.01183052613566132300,0.00751290263670106870,0.00832758690598983660,0.01015711708042255100,0.00940984507893238840,0.00950738096215503200,0.00945001344506846140,0.00787413640872297590,0.01621555023450754800,0.01265924541053314900,0.00918885612149972220,0.01240428685857525300,0.00808856756871967340,0.01079181913406607200,0.01213222440596684000,0.00986654828835653590,0.00793351716917223280,0.01001867890480862000,0.01195719451248711300,0.00886881265899580610,
