AlwaysSimulateESG,true
InflationAdjusted,false
InflationModel,1100701
PercentileInterpolation,PERCENTILE.EXC
Scenarios,5000
Threads,
effective_date,2016-12-31
name,ESGoutputs_July2016
output_file,c:\Foresight\Results\ESGoutputs_July2016.csv
threads,
time_step_sizes,
time_steps,30
version,1.5.1.7
build_notes,FSCE-308 - Fix spelling error in input parsing. Fri Feb 3 15:16:55 AUSEDT 2017 4446e8aae0193b05001f8989587ec87749ebea1d

Operator Key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,all
AVERAGE::QInternationalAlternatives_TOTALRETURN::OInternationalAlternatives_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.05606342845871757600,0.06467415706697277100,0.06861829772397448600,0.07068629463618511500,0.07367693792800016100,0.07511681901174288600,0.07424267350042773600,0.08052110191948994000,0.08209160080405797400,0.08280813824178838400,0.08340825407607499500,0.08316409172938001000,0.08504498257269754700,0.08732353558742576800,0.08470497702903549700,0.08530841352588762500,0.08561219152106304400,0.08500524368642568800,0.08719636193248626900,0.08551424496456674900,0.08365899199777206100,0.08455846468704413000,0.08561441741560769900,0.08669383771984529000,0.08647615127170474300,0.08570800866995777200,0.08632112974870266600,0.08386536673636933700,0.08799226571490309500,0.08714482996944102100,
AVERAGE::QInternationalFixedInterestGovernmentBonds_TOTALRETURN::OInternationalFixedInterestGovernmentBonds_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.01986525086229954500,0.02365292689365603200,0.02960329698093712400,0.03209023356468720900,0.03387149426890079300,0.03509456071146092900,0.03746560791008649700,0.03963617818561920200,0.04204242432272511200,0.04402254249061482400,0.04415952100818748600,0.04386864298125973300,0.04373547925621966400,0.04552140576428134100,0.04386013643179930600,0.04422371890614228100,0.04436227510556730500,0.04498113046716614000,0.04539315441368588900,0.04609694755872986700,0.04541785627437160800,0.04596923993188661200,0.04482523941529978400,0.04554129408873449500,0.04452697734945475900,0.04473213886888777200,0.04551415123028761100,0.04404988583382955800,0.04475865181769354800,0.04527992947917911700,
AVERAGE::QInternationalLargeCapEquitiesHedge_TOTALRETURN::OInternationalLargeCapEquitiesHedge_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.07295151000551014500,0.08068040179605702500,0.08893996184126140600,0.08988898918947466100,0.09245388147107487500,0.09473851094779348100,0.09366254652241658200,0.09944331147835149000,0.09770706470804328700,0.10117138318619590000,0.10404203736944294000,0.10310696476613895000,0.09997456723679469500,0.10107233382887880000,0.10193518849882291000,0.10150208841673758000,0.10202323877526530000,0.09726598470238000100,0.10056359229358257000,0.09905782177416104500,0.10074277518061688000,0.09951905418617799900,0.10254797515762071000,0.10531477045238810000,0.10096434175598830000,0.10334335846839576000,0.10426032845048737000,0.10101496404584383000,0.10376969937806774000,0.10386447122821439000,
AVERAGE::QInternationalLargeCapEquitiesUnhedge_TOTALRETURN::OInternationalLargeCapEquitiesUnhedge_TOTALRETURN_Average::TOTALRETURN::::avg:,0.00000000000000000000,0.07570029666586941500,0.08187781635923448200,0.08639164139161950600,0.09308264846045635800,0.09499700751429526700,0.09308090526972914700,0.09394463463656693700,0.10202299504155603000,0.09947502875920204200,0.10111704039227910000,0.10335083791235068000,0.10382124816609475000,0.09966184433884375800,0.10299727860413387000,0.10302970334116460000,0.10491405212652835000,0.10167433311510075000,0.10255810042054017000,0.10326604600148391000,0.09825417980881598300,0.10575904728555702000,0.10749941990362172000,0.10415386699186635000,0.10647999034205129000,0.10261936949309422000,0.10408020271163523000,0.10449411766845583000,0.10342713959768735000,0.10374911627617717000,0.09944533392322418800,
PERCENTILE::QAWE_RATE::OAWE_RATE_Percentiles::RATE::%1,1.00000000000000000000,-0.00341637805428277610,-0.00812101361077642750,-0.01017930599840637500,-0.01176009136504664800,-0.01254968757226779800,-0.01089215425096388300,-0.00927030935668242060,-0.01014876119325132200,-0.01032626679785371100,-0.01038442747449939800,-0.00967235192968224700,-0.00854677302654313980,-0.00926550308070171050,-0.00822588032298159080,-0.00870586351595929560,-0.00962352972121687490,-0.00935607470684925690,-0.00918174694894975490,-0.00755067020699080270,-0.00687674369685318130,-0.00686559107599020360,-0.00723418704190076630,-0.00640103873934829820,-0.00633091804044174850,-0.00800072955746363240,-0.00776801083897772900,-0.00674111308796086690,-0.00506863565859618380,-0.00542623805740640850,-0.00592502957356776370,
PERCENTILE::QAWE_RATE::OAWE_RATE_Percentiles::RATE::%25,1.00000000000000000000,0.01477154728720431200,0.01522184151724786900,0.01661134933875296800,0.01831463632647606400,0.01963846656085671500,0.02090928936413055700,0.02126008093534964600,0.02182195422660337900,0.02238028407220032900,0.02332784174534946500,0.02372404476442374600,0.02378876833649001800,0.02414163423188064900,0.02443095773889375500,0.02445492390377435000,0.02471400534344275800,0.02504302085058030000,0.02514470786833977700,0.02540398942564131600,0.02550974612626633100,0.02576925346637842800,0.02577997270886067700,0.02586904677504980900,0.02611050993946861800,0.02614678956839267000,0.02590027998713417800,0.02594907020077319400,0.02646947176950076300,0.02619283554852097600,0.02548058042321249500,
PERCENTILE::QAWE_RATE::OAWE_RATE_Percentiles::RATE::%5,1.00000000000000000000,0.00386785441730724820,0.00124893454324773730,0.00025271952846821520,0.00066089193130239863,0.00131809105260467580,0.00159829317884787620,0.00220617441403099260,0.00375081138504153090,0.00411913515471263890,0.00311010150746450240,0.00424355833579936890,0.00522125949612746180,0.00492101951595103060,0.00526276669477546660,0.00440294392140050480,0.00530781454452965500,0.00465707221803383140,0.00637193829311379950,0.00693206474497294350,0.00588387295512526890,0.00636060853328460590,0.00665241398300546980,0.00550747731166039390,0.00703572093484726780,0.00652780457582236100,0.00724105170889498530,0.00729694460291655490,0.00670385760621781180,0.00716330698655801620,0.00580540636172246530,
PERCENTILE::QAWE_RATE::OAWE_RATE_Percentiles::RATE::%50,1.00000000000000000000,0.02258219963542784600,0.02562620236861068400,0.02825124666413647600,0.03039258102877273600,0.03196058293039616400,0.03413659951002801000,0.03451091529945304900,0.03516448933447591200,0.03632552671808486600,0.03702084636016422800,0.03725328930374760500,0.03771219223198518700,0.03792398892455950400,0.03769111167707606100,0.03806020966197898300,0.03873126500039003600,0.03856937912985780600,0.03896894506813353100,0.03973555813498019800,0.03986677302610297500,0.03965068157295204000,0.03994552355473746100,0.03974359100903190900,0.04004594480796941400,0.03989005242382448500,0.04005908705768035400,0.03994498316952355100,0.03995848021876713400,0.04011711015946561900,0.04016068279161444400,
PERCENTILE::QAWE_RATE::OAWE_RATE_Percentiles::RATE::%75,1.00000000000000000000,0.03058305785195442100,0.03564910510102903300,0.03998774234633539800,0.04271783322435712700,0.04490273541704986600,0.04681607485988226200,0.04818084372683340000,0.04880076464856847300,0.05024937882045127400,0.05112482658796924100,0.05099189191487235600,0.05184789502993070200,0.05136005709610413900,0.05142081952318933200,0.05204132696496932600,0.05264390735538809800,0.05275143969989304300,0.05258143626055716800,0.05320540816081836800,0.05355597825975250100,0.05379672014257724800,0.05392062091641236500,0.05422570620004996100,0.05417812596523236000,0.05415731112285543400,0.05437650828704188000,0.05381774203460038000,0.05361560839104001500,0.05386145711432271900,0.05429776360584703800,
PERCENTILE::QAWE_RATE::OAWE_RATE_Percentiles::RATE::%95,1.00000000000000000000,0.04166826763113412600,0.05080853551514345100,0.05615768902181656600,0.06037210751233779100,0.06376938691691744200,0.06636538961504027900,0.06772742455496130700,0.06886588399876927800,0.06941362903685431600,0.06995923461057358700,0.07185147830747330700,0.07205760106040805200,0.07243049637430981600,0.07182558966641364200,0.07178185767103789600,0.07277509798990838800,0.07331489257234327700,0.07341691139191559900,0.07373887677738004400,0.07425940139446067500,0.07485027039654911000,0.07540819408375047700,0.07526408454555882900,0.07547459594757091600,0.07500425372718114200,0.07460888709642411700,0.07455663215569337300,0.07424390557768141600,0.07436580661974043200,0.07440450801887713000,
